coreid,catalogNumber,identifier
9e222337-6a44-428f-86cd-3882a07bb604,4409165,https://api.naturemapr.org/api/sightings/4409165/images/2
06b0607c-d174-461b-8b70-64ffbbf0ab99,4409339,https://api.naturemapr.org/api/sightings/4409339/images/2
90084451-9d0a-4575-95bd-b71e39385605,4409272,https://api.naturemapr.org/api/sightings/4409272/images/2
1fc9edf3-5790-468c-a81e-31d700a7fee0,4409163,https://api.naturemapr.org/api/sightings/4409163/images/2
8415d9a7-7279-4f51-9b79-aba9966364d7,4409170,https://api.naturemapr.org/api/sightings/4409170/images/2
2cd76cf1-fa29-4bea-b446-7707d3bbd26a,4409393,https://api.naturemapr.org/api/sightings/4409393/images/2
f4527baf-790c-447d-ac5b-43db1b3398fb,4409158,https://api.naturemapr.org/api/sightings/4409158/images/2
f68fedbb-4656-4fe3-bb1e-7b19f3f870ed,4409143,https://api.naturemapr.org/api/sightings/4409143/images/2
291c7fc7-4ca3-4b63-905f-fecaf1bdca02,4409136,https://api.naturemapr.org/api/sightings/4409136/images/2
766fb402-1b8f-4b34-8c71-e606f322cc94,4409109,https://api.naturemapr.org/api/sightings/4409109/images/2
aa3272f1-7f3c-41c5-904c-83c7c9a1bbfa,4409133,https://api.naturemapr.org/api/sightings/4409133/images/2
00eff9a1-3501-412c-b3a9-d746580097b0,4409028,https://api.naturemapr.org/api/sightings/4409028/images/2
c6fd1018-81c4-4a0d-a148-35923026c786,4409026,https://api.naturemapr.org/api/sightings/4409026/images/2
c51b1366-3be7-4898-a311-9b229b753061,4409184,https://api.naturemapr.org/api/sightings/4409184/images/2
97f2d7ba-ec2e-481e-9ee3-0395b5912018,4409181,https://api.naturemapr.org/api/sightings/4409181/images/2
b0b8c60c-12c3-4369-a777-a49c805cff50,4409176,https://api.naturemapr.org/api/sightings/4409176/images/2
f10f3aef-57d1-43c9-abb1-8dc588163c12,4409019,https://api.naturemapr.org/api/sightings/4409019/images/2
74bd5f31-99df-40f6-b553-3bd28c03cf81,4409020,https://api.naturemapr.org/api/sightings/4409020/images/2
c64d0055-2148-454a-8875-d034dee065b0,4409021,https://api.naturemapr.org/api/sightings/4409021/images/2
affa3819-7b23-41ed-856e-16157426b919,4409022,https://api.naturemapr.org/api/sightings/4409022/images/2
e32a4cca-7efe-4d27-80e9-80094e8b8fc4,4409146,https://api.naturemapr.org/api/sightings/4409146/images/2
27d8007f-3941-4a4f-bd5c-482b75e60019,4409027,https://api.naturemapr.org/api/sightings/4409027/images/2
181d5422-8787-46b5-8abe-e9154130b906,4409015,https://api.naturemapr.org/api/sightings/4409015/images/2
c83a137e-5128-4570-8fcb-2d8293b17a28,4409013,https://api.naturemapr.org/api/sightings/4409013/images/2
dfba00f7-0285-4b43-9039-6c0ea2950a88,4409031,https://api.naturemapr.org/api/sightings/4409031/images/2
336d30e8-2e55-4f28-bc52-5b1634540a2b,4409032,https://api.naturemapr.org/api/sightings/4409032/images/2
674d957e-864e-4a89-9ff5-27f213b025c7,4409115,https://api.naturemapr.org/api/sightings/4409115/images/2
8bc0e941-bbfc-49b4-861f-fe85db3e1751,4409114,https://api.naturemapr.org/api/sightings/4409114/images/2
0fe30408-1e05-4c5b-b342-73dd8af7ebc5,4409116,https://api.naturemapr.org/api/sightings/4409116/images/2
f1a768c6-e40f-44a6-8b18-3363c0b39f13,4409069,https://api.naturemapr.org/api/sightings/4409069/images/2
